Id,Review,Label
17,This course does not say anything about digitization which is the core subject of the digital wave.,2
70,"While there is some interesting content, particuarly in the last week on design thinking, some of the course topics don't seem to hold together well, and the videos include a lot of monotonous talking heads. While this conveys the benefit of being able to listen to some of the videos without consistently watching, the interview questions asked of speakers are sometimes printed on the screen and not asked verbally. If you're not watching, you miss the questions. I would like to see this course refocused on design thinking for 3D printing, with other applications interspersed as examples rather than constituting the lion's share of the course. I believe that format would both be more engaging and do a better job of delivering skills with more opportunity for practice.",2
163,"I didn't really care about the stories from the students or seeing the space for one whole lecture video. It's clear that Ultimaker is the sponsor, but it felt like a commercial. I want to learn more.",2
197,"weeks 1,2 and 3 were not satisfactory according to me. the video lectures were difficult to comprehend. week 4 was very good.",2
203,The three first weeks were almost completely dedicated to traditional finance accounting ratio analysis.,2
204,"Course was not easy to grasp, lost interest after the first week and I barely got through the quiz at the end.",2
255,Too far from subject,2
289,"While I enjoyed this course and the topics covered, I don't feel like the course content matched what the course description stated it was supposed to. I enrolled in the Business Analytics Specialization course with a focus on analyzing a business from the inside, not outside. Of the 4 weeks of the course, I'd say that only week 4 was valid from an internal perspective but it was kept very high level. I'd say this course could be good for a specialization in business market analysis, but not as advertised.I also found the cartoon classroom questions to be very annoying, almost as bad as fingernails on a blackboard.",2
304,Lot of considerably complex and dry (accounting and statistics!) subject matter covered at a high level without much discussion! Quiz questions are unnecessarily complex - which (IMHO) will discourage / turn off those who are new to this subject matter in completing this course. The last week is pretty interesting though!I am taking the full business analytic course - and find that the quality and complexity of content is all over the place!! Some are way too simple and some are highly complex.,2
337,"Inadequate student and teacher participation on forums, leaving students to figure things out without assistance or collaboration. Insufficient explanation of math concepts required to fully understand lectures.",2
502,the introduction to Fusion is more a customer presentation to advanced CAD user than a tutorial for newbies.,2
550,So far the course is just a tutorial for using Scratch and they're not teaching how to program that is the name of the course.,2
556,"The male Professors seem to speak Chinese half the time, therefore not being able to understand the material for students who aren't fluent in Chinese. I prefer the female Professor from Advanced Neurobiology I who presented the material in English, and in an engaging and coherent way.",2
606,"The course content is great, but peer evaluation is simply useless and almost random. This specialisation needs to introduce an actual final assessment by an actual expert, not peers.",2
762,"while the task of summing up a lot of information in a minimum sized presentation is always a very difficult task, the structure of the material presented was not optimal. This in turn made it difficult for me personally to actually connect the weekly information presented with the overall meaning and the objective of each module. The ""why"" and ""how"" of most modules fit to the meaning we are forming (up to week 5 -the point I am leaving this class) is not evident. Last, some of the questions contained ambiguities that could not be reasonably clarified even going back and reviewing the material of the specific segment. Thank you for the offered class in any case.",2
805,"It helps you build your essay-writing muscles gradually. Too much emphasis on plagiarism. Some flaws in the grading forms. The level of the participants is quite mixed, most feedback they give is useless (""good"").",2
858,"It is not very ""advanced""",2
871,The professor is reading long texts. It is not really attractive.,2
872,"I greatly enjoyed the material presented in this course and while I do not doubt the proficiency of it's creators the poor standard of spoken English of its two main presenters prevents me from recommending it to colleagues. As another reviewer has remarked, their English may be quite sufficient for day to day use with other experts but for inadequate for teaching students who are hearing many technical terms for the first time. The transcripts are no better and also contain many mistakes. I believe that this course should be stopped until these problems are corrected.",2
888,Boring and can't make sense of the presentation / language and idiom use.,2
914,"While some of the information presented was interesting, it seemed oddly biased towards the perspective of highly educated foreigners. I had hoped to get more information about how America is seen by the (foreign) masses.",2
1047,A lot of calculation errors and incorrect answers,2
1065,i like it but there is ALOT to do i am 13 taking this for science class and i am starting to get lost in what the are saying,2
1122,"The professor certainly knows a lot about this subject, but his delivery is stiff and dry. If he shared his passion for the subject with us it would be more enjoyable. On the plus side, I admire how he shares the Greek language with us so capably and combines art with his lectures.",2
1217,Far too easy,2
1260,The teaching quality is very average and mediocre at best.The assignments are merely implementation of lectures .The Stanford and Princeton courses on Algorithms are better courses to take for one to pursue a serious study of Algorithms.,2
1273,"The course is too shallow - amount of topics discusses is quite small. Practice tasks are boring - implement pseudocode given in lectures. No quizzes. In particular you can see that it is a bad course, if you compare it to the previous 2 courses in the specialization. I'm agree with other people posting in forums about that.Wasted time, could spend that month more productively. Not going to continue passing other future courses.",2
1279,"I can only give this two stars at most.The lecturers are just like reading the PPT without any heuristic teaching approaches.The assignments make me desperate, always show very poor feedback message -- ""Wrong answer"", even the cases failed because of performance issue.The starter files given from the assignment are inconsistent with the pdf description. It's so confusing.Couldn't get any help from forums.",2
1283,Course was to easy and nothing new in it not as the description that it has algorithms 100000 times faster than google.,2
1557,"Interesting material, but its presentation is haphazard and incomprehensible. In typical Latin American style, the presenter wanders erratically through the material in the videos in a confusing and non-linear way, so that making coherent notes is impossible. The relationship between the video, quiz and supplemental reading is sometimes hard to determine. The workload is also vastly different from week to week, including one reading of over 200 pages, indeed a whole book - whilst other lectures demanded only a few pages' worth. Sadly this course was one I abandoned - I lost patience with its random and frustrating structure and the limiting and perplexing nature of the quizzes. I should point out I am bilingual so this was by no means a language issue. If you have the patience for this, or are used to this style of learning, go ahead. I've had to stop, sadly.",2
1629,Easy and pointless.,2
1707,Basic introduction to data analytics,2
1735,Can be packed into a two-week course.,2
1739,Authors are too greedy for the course material.,2
1786,"I do not think that students should need to pay for a course in order to watch interviews with previous graduates. Half of this course should have been condensed or excluded. There is not much to learn in these modules. It was decent, but it was not a five star course. I think the ratings on this are misleading.",2
1793,Found it boring and pretty irrelevant. I was hoping to lean more on metrics especially in the digital marketing section. Pretty let down and $79 waste,2
1832,"Everything was either super basic or else more advanced but so niche that it doesn't really apply to everyone and we don't need to learn it in that depth. Would have liked to learn a lot more about how to determine what KPIs you should be measuring in different businesses, what kinds of metrics are important, etc. The very large majority of this course will never be applicable to me.",2
1842,Very very entry level information.,2
1928,I really did not like the portion that went into detail about business analytics and related career paths. Not a technical skill or ne,2
2063,"Poor performance of Jupyter and the wildly underestimated time commitments really sunk this one for me. The latter, especially is inexcusable. The syllabus is lopsided and, while organized, not enough thought has been given to the exercise workload.",2
2174,"Errors in the material made it difficult to get through. All past discussions on the forum are gone, making it difficult to review posts by classmates.",2
2284,"Quite boring, a lot of propaganda against drugs. Sometimes data is presented in misleading ways to make the harm from drugs look greater. Though if you are new to the topic, you may consider to take the course as it contains some useful information.",2
2288,"Information strays between ridiculously shallow and unnecessarily deep (e.g. the stuff about GPCRs is so far removed from importance when discussing addiction). Most of the time the questions are poorly worded and thoughtless, and the whole thing reminds me of a bad high school class. Some parts border on misinformation, does seem almost as if it's been underwritten by the DEA. Paints a very distinct picture, a picture with an agenda and really incomplete portrayal of addiction. Points for trying though.",2
2350,"I am very interested in this topic however I found the instructor's presentation to be so monotonic and slow paced that I dropped out. I am sure he knows his material cold and I am sure that he is much better ""live"" in class. The readings were appropriate and the course out line solid. However this is not his media. And I have done the ""talking to the camera"" thing and it can be deadly for presenters. It is not BTW an ""age thing""; I am older than he, I am sure, and do not ask that presentations be entertaining - just that they be engaging. (Perhaps if Coursera had lecturers present in front of small groups, as ""Great Courses"" does? It is unfortunate that (as I understand it) Coursera doesn't offer a ""free look"" with the option to transfer one's fee to another course if unhappy. Hope this is constructive for both the lecturer and Coursera.",2
2376,"As a career dieter who is constantly reading about causes of obesity, I can't say I learned anything too earth-shattering. However, the research discussed does support what I have learned from listening to the podcasts from the Institute for the Psychology of Eating.",2
2421,"Not very informative, and too simple. Also, there is way too much repeating",2
2451,Very informative but very dry presentations.,2
2543,"There's a lot of great information in this course and it's presented in a very good way. However, like the excel course in this specialization, most of the material isn't about using Tableau. 1 week is about running a project, 2 weeks are about using Tableau, and the final 2 weeks are about presentation. If you're interest isn't mainly in Tableau, I would recommend the course. However, if you're taking this course to learn Tableau, I would suggest not paying for it.",2
2565,"This course may be misleading aspiring data analysts and scientists: it may give the false impression that, with the tools learned here, you will be able to analyze your data by yourself. In fact, you would be completely missing on large chapters of statistics and, as a result, you would often end up drawing wrong conclusions and believe you did a great job. For example, what is the point of giving you a single 10-minutes video on how to do regression in Tableau if you don't even know regression (which is AT LEAST a one-term course in graduate school, and only after several other prior basic stats courses)? BEWARE: get a much larger background in statistics before applying anything you learn here in real life. Some minimal stats knowledge should be recommended as a pre-requisite for this course, or else you end up doing like those monkeys using a statistical software without really understanding what they are doing and drawing conclusions with blissful ignorance. The problem is: some of your audience will know and will notice, more often than you might think and you will end up looking like an idiot.Sorry to be negative here, but I think I owe you, my co-student, at least a warning: do learn more stats elsewhere!! ... good luck.",2
2673,the course is a bit outdated and I am finding it hard to stay motivated knowing there are other more recent courses. The topics I think are still relevant but the tools are not. I am looking for courses where there is hands on development that you follow with the instructor and I did not find this here.,2
2706,A basic course but not for the ones who don't know anything about java or android. Not made for the beginners. Also the submitting projects work is complicated and should be made more easier.Not recommended for the starter.,2
2720,I found this course lacking in providing sufficient coverage of the basics in the course videos and lacking a useful and directed reading list. I spent far too much time researching command syntax and using try and error to find what worked with the provided code.Disappointing as topics covered are good.,2
2758,Yet another good course that is ruined by a peer review requirement. Dr. Singer is a fascinating person to learn from and I am glad I took the time to pursue the course.,2
2798,"Mini-project grades system is awful. btw, you have to wait till three students review you project. One more point is that, the contents of videos are not that enough. You can just read the required textbook to get all knowledge and examples.",2
2807,boring assaignments,2
2890,it is good thing to learn,2
2913,"Many of the problem sets ask you to apply theorems in ways that have not been demonstrated. If a student makes a mistake, no feedback is given other than, ""That is not the right answer"".",2
3010,"I wanted to like this course, but (and perhaps it's a mathematician thing) the teacher just kept doing stuff without explaining WHY he is doing the stuff. He is very animated and a good presenter but, even when I understood what he was saying, I couldn't get past the ""why is he doing this?"" It is never ""self-evident"" for me.",2
3120,"This course was too messy. I spent 75% of my time to get the examples to work. It would have been better if after each module all the .js and .html files would be given in total, not just the snippets.",2
3129,"Good introductory type course but when there are issues a student is having that no other peer can resolve, the instructors are almost NEVER available to assist.",2
3153,"This course -- actually, both the 2nd and 3rd courses in this specialization -- are like ""take your interested, but mostly uninformed friend to work day"". Give them some stacks of paper to sort, then shown them what a correctly sorted stack looks like. You've only got one day at work with your friend, so be kind enough to humor them with a very cursory explanation of what sorting is about, but you can't really teach them much in such a short time. So, set them to task, sorting pile after pile. Hey look! Your friend is now a practiced sorter!These courses are really for folks who can spend much more time than advertised. Sure, you will see lots of really cool things -- like AngularJS, Grunt, Bower, etc. -- but don't come into this believing that you'll really learn them, because that is just not possible with the time allowed. This whole thing is about exposure, not deep understanding.Want to learn the guitar? This is like going to watch a (very slow) concert, and then having the guitarist hand you their instrument, put your fingers on the correct frets, and then strum the strings for you. See -- now you can play!Thinking of learning algebra? How about if I simply told you to ""write the numeral 5, then the addition symbol, then the letter X, then the equals symbol, and finally the numeral 12"", and then proceeded to tell you, step-by-step, what you should write on the page in order to solve for X. Would you have learned about solving equations? At most, you would have written a workable example for solving a certain kind of equation, but I doubt you'd be anywhere near proficient after being hand-held through one example.On the positive side, I was exposed to many different things in the web-development world -- that I cannot argue against. However, this course could be so much more. The model of having students watch a video of a person talking about coding, whether in front of a Power Point slide or a text editor full of code, is borrowing from the worst of the ""lecture-first"" classroom experience of (most of) higher ed. It's a bummer that we aren't moving in a different direction with this stuff after so long, but I guess it's still what people expect (or at least have learned to cope with).",2
3171,Not well designed and the professor hard to follow...,2
3184,I like the professor...but the activities and projects always had errors and issues that weren't easily fixable. And the mentors are absolutely terrible at providing guidance. So I most likely won't be able to finish this course.,2
3190,Learning materials are poorly delivered. Codes given are bug-ridden this in turn makes it incredibly difficult to follow on. Disappointing,2
3203,There are steps that are missing at times which require you to scour for help. There are also quirks that aren't mentioned that other students have to point out. Unaddressed questions in the discussion board required escalation. Feels rushed and it's hard to learn for a beginner. Feels like you're just going through the motions and copy and pasting code.,2
3216,There are no advanced stuff these what is taught are basics any graduate or undergraduate student can easily pickup on his/ her own interest. What a waste of time .,2
3246,"Extremely poor help and feedback.Almost no replies on discussion forums from mentors/peers so many issues end up unresolved. Considering how difficult this course is compared to other courses, the lack of real assistance is appalling.Seemingly outdated lessons.A lot of errors I get come from version discrepancies. Lessons should be checked over. If I have to Google problems to complete step-by-step lessons, the lesson is extremely ill-prepared.This is enough to make me abort this specialization.",2
3267,This course needs an easier way to peer review. Downloading individual files to computer and plugging into your project without overwriting your own work is a nuisance. Especially during assignment 4 where everything needed to be hosted in the server in order to work; this made is extremely difficult to review.,2
3273,Cannot believe charge me homework,2
3291,"Angular JS is a crucial component of all of the internet. Hardly a website exists without it and it's clear that Angular will go places. However, this course fails on a few crucial levels. As such, my review might look scathing and I'll detail why in a minute, but I want you to know that this course is quite possibly invaluable when it comes to web development. Besides, the fixes that would need to be made on the instructor's side are minor, but when working without those fixes, things get infuriatingly frustrating rather quickly.There are errors in the code supplied by the instructor that need to be pointed out by students, scripts sometimes don't work, explanations are sub-par when explaining things such as $scope. There are parts that are seemingly there to pad out the lessons such as Task Runners. Sometimes, doing things exactly the way shown in the video with additional fixes by both the professor and students, it still doesn't work. Some exercises are an hour long for something that won't be quizzed in the end.Understanding that this review was made about a new course that covers something rapidly changing and not persistent, I still did learn a lot of valuable things and I would recommend this course to everyone involved in web development. However, be prepared to question your own sanity, your skills, the software you use, software in general and just despair at times. All in all, it is a price worth paying for the amazing knowledge you gain.",2
3308,"Angular 1 not Angular 2 which is disappointing but worse still, it teaches use of scope which is no longer recommended by the angular team themselves.Could be vastly improved by using modern angular best practice such as ""Controller As"" syntax and teaching you to write code that is more ""compatible"" with Angular 2",2
3326,"Update:Coursera or the course content provider has changed this course in a bad way: You have to PAY for the course IN FULL AMOUNT JUST to get your assignments submitted and reviewed by peer learner.What a pity.-------------------------------------------------------------------------------------------------------------Great course! Material is very useful and interesting!The course introduces concepts in a progressive and comprehensive way so that knowledge is easy to be understood. Practise quiz and assignments perfectly reflects course materials.Also, professor Muppala is quite funny. Enjoy the course!",2
3398,"Was very difficult to follow. This is a complex subject and the prof is trying his best, but there are times the explanation is not sufficient. Instructions for installing gulp was not good. I was unable to complete the following exercises after gulp installation failed. Instruction needs to be short and crisp. Building on top of each other project has its negative. There must be solution at the end or at least a check point where you can start clean for the next project.",2
3418,The paste of the lectures is too slow. Much too slow,2
